freq,unit,geo\TIME_PERIOD	2004-Q1 	2004-Q2 	2004-Q3 	2004-Q4 	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 
Q,MIO_PKM,AT	2094 	2144 	2095 	1962 	2185 	2122 	2149 	2014 	2216 	2193 	2104 	2138 	2212 	2246 	2233 	2236 	2378 	2592 	2552 	2638 	2336 	2433 	2635 	2686 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
Q,MIO_PKM,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	4 	7 	5 	5 	10 	9 	8 	6 	9 	: 
Q,MIO_PKM,BE	2094 	2163 	2142 	2271 	2193 	2308 	2235 	2381 	2367 	2467 	2309 	2484 	2377 	2543 	2376 	2633 	2542 	2647 	2481 	2731 	2592 	2682 	2452 	2726 	2517 	2767 	2537 	2743 	2486 	2733 	2506 	2710 	2400 	2700 	2500 	2700 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
Q,MIO_PKM,BG	: 	: 	: 	: 	: 	: 	: 	: 	530 	622 	674 	596 	552 	609 	680 	582 	550 	594 	642 	549 	494 	550 	586 	514 	472 	537 	578 	514 	462 	553 	599 	445 	414 	492 	517 	447 	403 	478 	507 	433 	392 	444 	465 	397 	344 	411 	429 	365 	328 	376 	408 	343 	308 	374 	410 	343 	312 	378 	434 	352 	328 	388 	446 	357 	295 	219 	352 	261 	235 	297 	389 	282 	273 	405 	523 	398 	342 	402 	475 
Q,MIO_PKM,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3952 	4169 	4231 	4278 	4230 	4244 	4385 	4318 	4297 	4407 	4551 	4652 	4589 	4706 	4849 	4786 	4559 	4422 	4558 	4701 	4398 	4579 	4618 	4691 	4532 	4651 	4814 	4821 	4591 	4754 	4837 	4914 	4738 	4899 	4918 	5033 	4808 	4864 	4877 	5033 	4610 	4835 	4836 	4992 	4869 	5044 	5187 	5213 	4398 	1860 	3565 	2867 	2482 	3017 	3798 	4029 	3644 	4634 	4888 	4918 	4877 	5221 	5428 
Q,MIO_PKM,CZ	1617 	1664 	1628 	1681 	1582 	1697 	1663 	1725 	1692 	1806 	1639 	1785 	1656 	1782 	1727 	1734 	1557 	1734 	1701 	1811 	1548 	1698 	1639 	1617 	1505 	1742 	1640 	1704 	1523 	1743 	1709 	1739 	1645 	1882 	1829 	1909 	1739 	1942 	1920 	2000 	1742 	2008 	2020 	2027 	1832 	2164 	2158 	2144 	2007 	2236 	2364 	2227 	2065 	2439 	2577 	2434 	2221 	2667 	2717 	2687 	2378 	2906 	2994 	2787 	2054 	1137 	2149 	1144 	969 	1488 	2381 	2052 	1878 	2664 	2764 	2517 	2120 	2607 	2887 
Q,MIO_PKM,DE	17161 	17877 	18733 	18792 	17294 	18313 	19808 	19532 	18057 	19500 	20348 	19898 	18642 	19821 	20594 	19763 	18983 	20198 	21480 	21101 	19398 	19919 	20869 	20651 	19596 	20533 	21268 	21365 	19851 	20993 	21948 	22082 	20964 	21735 	22807 	22784 	20988 	21841 	22793 	22770 	21157 	22199 	23828 	22533 	21123 	21675 	23487 	23372 	22015 	23472 	23862 	24324 	22698 	24147 	24545 	24433 	23062 	24487 	25504 	24710 	23339 	24858 	25631 	25899 	20074 	8256 	16433 	11900 	8464 	11597 	18188 	18448 	15583 	25060 	29375 	24612 	21169 	26601 	29337 
Q,MIO_PKM,DK	1355 	1434 	1480 	1476 	1342 	1467 	1463 	1488 	1395 	1507 	1494 	1507 	1398 	1501 	1499 	1570 	1433 	1521 	1546 	1595 	1388 	1505 	1532 	1555 	1438 	1520 	1575 	1626 	1544 	1585 	1649 	1624 	1573 	1636 	1583 	1724 	1604 	1667 	1589 	1713 	1562 	1655 	1591 	1705 	1580 	1616 	1607 	1704 	1546 	1596 	1562 	1624 	1543 	1595 	1529 	1613 	1490 	1584 	1506 	1601 	1507 	1512 	1534 	1620 	1255 	636 	1126 	923 	587 	962 	1298 	1343 	1120 	1552 	1570 	1573 	1456 	1550 	1565 
Q,MIO_PKM,EE	43 	51 	51 	48 	53 	59 	70 	65 	55 	65 	70 	66 	61 	71 	74 	68 	63 	71 	74 	66 	59 	63 	65 	63 	58 	64 	64 	61 	57 	62 	62 	61 	55 	61 	61 	58 	49 	55 	58 	60 	60 	70 	81 	71 	67 	75 	83 	67 	73 	78 	82 	82 	85 	91 	91 	99 	98 	109 	107 	103 	93 	103 	94 	102 	77 	42 	80 	65 	50 	73 	88 	79 	75 	104 	106 	98 	93 	108 	: 
Q,MIO_PKM,EL	369 	404 	462 	463 	425 	448 	514 	467 	408 	426 	544 	448 	443 	470 	536 	484 	407 	437 	425 	388 	372 	392 	361 	342 	317 	345 	354 	367 	292 	279 	222 	208 	208 	208 	208 	208 	247 	262 	273 	274 	266 	266 	273 	267 	297 	330 	336 	300 	316 	295 	280 	301 	272 	276 	293 	272 	239 	263 	288 	314 	265 	300 	342 	347 	258 	86 	199 	97 	74 	135 	212 	231 	197 	281 	313 	322 	201 	161 	: 
